X;Y;REGION
331846.46241254;7689063.06784244;1
339242.963169372;7678127.19776126;1
339316.281533483;7676711.27634052;1
340101.511178164;7675655.39124222;1
340047.252961842;7675099.3278623;1
340174.724947521;7674243.43564702;1
339315.975835999;7673663.72493453;1
339198.073298969;7670456.29461055;1
338488.228216984;7669909.71233769;1
339307.183282483;7668425.6416623;1
342094.538996877;7666706.49300674;1
342189.360827414;7666135.98491871;1
343115.800890837;7665827.35378569;1
343721.455720751;7664785.50683072;1
344380.920996752;7664347.30376524;1
344778.565025593;7663239.97387262;1
345863.186721422;7661916.85601857;1
349997.637461003;7659224.95972949;1
354172.105693626;7651866.10234579;1
354874.571837708;7649840.71015591;1
354706.43566368;7648664.69033218;1
354958.523454171;7647079.71741585;1
355340.233679811;7644289.60910049;1
355819.542419588;7643912.91081027;1
356555.178258894;7641443.34040501;1
356479.063491498;7639950.69645738;1
356632.218572403;7639444.13525393;1
358340.785693149;7637903.59696166;1
358405.216318092;7637332.76403438;1
361803.607243222;7634914.86472063;1
361802.6;7634910.5;1
361799.5;7634903;1
361792.4;7634890.8;1
361790.6;7634884.2;1
361791.8;7634878;1
361790.3;7634872;1
361792.4;7634869.8;1
361796.3;7634867.6;1
361794.7;7634865.1;1
361790.4;7634862.2;1
361788.8;7634857.9;1
361785.5;7634855.4;1
361781.1;7634863.3;1
361778;7634860.4;1
361774.1;7634855.9;1
361773.2;7634847.3;1
361771.9;7634829.9;1
361764;7634826.7;1
361754.2;7634830.2;1
361745.4;7634832.3;1
361737.4;7634832.6;1
361705.4;7634840.3;1
361673.3;7634856.8;1
361658;7634859.2;1
361616.5;7634869.9;1
361605.9;7634866.5;1
361595.4;7634862;1
361593.3;7634866.5;1
361589.3;7634874.8;1
361582.3;7634881.5;1
361569.3;7634883;1
361564.7;7634888.4;1
361564.6;7634898.3;1
361560.9;7634905.6;1
361552.1;7634910.2;1
361531.8;7634910.5;1
361518.5;7634916.6;1
361514.2;7634922.4;1
361504.7;7634930.7;1
361494.3;7634930.7;1
361488.8;7634933.1;1
361488.2;7634936.2;1
361486.4;7634943.2;1
361484.3;7634948.7;1
361480.3;7634951.4;1
361465.1;7634954;1
361455.4;7634953.7;1
361449.3;7634952.3;1
361443.1;7634950.2;1
361435.5;7634948.5;1
361427.7;7634945.9;1
361419.2;7634941.4;1
361413.4;7634939.9;1
361396.9;7634938.3;1
361378;7634939.5;1
361369.4;7634940.1;1
361346.2;7634943;1
361326.4;7634945;1
361280.3;7634941.7;1
361240.6;7634931.9;1
361215.3;7634930.8;1
361201.5;7634925.8;1
