date;day;month;year;survey;length;ptot;X;Y;long;lat;surveyF;id_newF;log_length;yearF;jd;mo;jd_s;survey_name
5/11/1997;5;11;1997;1;120;1;323719.4125;7675754.616;55.3039;-21.0105;1;1;4.787491743;1997;309;11;1.478371341;1997-2000
29/5/2017;29;5;2017;3;80;0;323719.4125;7675754.616;55.3039;-21.0105;3;1;4.382026635;2017;149;5;-0.453134374;2017-2019
4/12/2017;4;12;2017;3;80;0;323719.4125;7675754.616;55.3039;-21.0105;3;1;4.382026635;2017;338;12;1.828456751;2017-2019
5/6/2018;5;6;2018;3;80;0;323719.4125;7675754.616;55.3039;-21.0105;3;1;4.382026635;2018;156;6;-0.368630999;2017-2019
23/5/2017;23;5;2017;3;80;1;359720.9072;7671934.549;55.64989892;-21.04810701;3;2;4.382026635;2017;143;5;-0.525565838;2017-2019
4/6/1999;4;6;1999;1;120;2;359720.9072;7671934.549;55.64989892;-21.04810701;1;2;4.787491743;1999;155;6;-0.380702909;1997-2000
9/6/2000;9;6;2000;1;120;1;359720.9072;7671934.549;55.64989892;-21.04810701;1;2;4.787491743;2000;161;6;-0.308271445;1997-2000
11/6/1998;11;6;1998;1;120;0;359720.9072;7671934.549;55.64989892;-21.04810701;1;2;4.787491743;1998;162;6;-0.296199534;1997-2000
12/5/2009;12;5;2009;2;120;2;345384;7651932;55.5101434;-21.22762658;2;3;4.787491743;2009;132;5;-0.658356856;2009-2010
26/5/2017;26;5;2017;3;80;0;345384;7651932;55.5101434;-21.22762658;3;3;4.382026635;2017;146;5;-0.489350106;2017-2019
13/6/2017;13;6;2017;3;80;4;345384;7651932;55.5101434;-21.22762658;3;3;4.382026635;2017;164;6;-0.272055713;2017-2019
10/6/2019;10;6;2019;3;80;0;345384;7651932;55.5101434;-21.22762658;3;3;4.382026635;2019;161;6;-0.308271445;2017-2019
5/6/2017;5;6;2017;3;80;0;330976.2766;7652401.903;55.3714;-21.2221;3;4;4.382026635;2017;156;6;-0.368630999;2017-2019
8/6/2018;8;6;2018;3;80;4;330976.2766;7652401.903;55.3714;-21.2221;3;4;4.382026635;2018;159;6;-0.332415267;2017-2019
7/5/2009;7;5;2009;2;60;1;330976.2766;7652401.903;55.3714;-21.2221;2;4;4.094344562;2009;127;5;-0.718716409;2009-2010
5/12/2017;5;12;2017;3;80;0;330976.2766;7652401.903;55.3714;-21.2221;3;4;4.382026635;2017;339;12;1.840528662;2017-2019
30/5/2017;30;5;2017;3;80;1;330976.2766;7652401.903;55.3714;-21.2221;3;4;4.382026635;2017;150;5;-0.441062463;2017-2019
18/11/1997;18;11;1997;1;120;1;330976.2766;7652401.903;55.3714;-21.2221;1;4;4.787491743;1997;322;11;1.63530618;1997-2000
4/11/1997;4;11;1997;1;120;1;329157.2604;7678745.498;55.3565;-20.984;1;5;4.787491743;1997;308;11;1.46629943;1997-2000
25/6/2009;25;6;2009;2;60;1;329157.2604;7678745.498;55.3565;-20.984;2;5;4.094344562;2009;176;6;-0.127192784;2009-2010
9/5/2009;9;5;2009;2;120;0;351839.9737;7658993.545;55.57295;-21.16438;2;6;4.787491743;2009;129;5;-0.694572588;2009-2010
15/6/2010;15;6;2010;2;120;0;351839.9737;7658993.545;55.57295;-21.16438;2;6;4.787491743;2010;166;6;-0.247911892;2009-2010
8/6/2018;8;6;2018;3;80;0;351839.9737;7658993.545;55.57295;-21.16438;3;6;4.382026635;2018;159;6;-0.332415267;2017-2019
19/11/2017;19;11;2017;3;80;0;351839.9737;7658993.545;55.57295;-21.16438;3;6;4.382026635;2017;323;11;1.647378091;2017-2019
25/5/2017;25;5;2017;3;80;0;351839.9737;7658993.545;55.57295;-21.16438;3;6;4.382026635;2017;145;5;-0.501422017;2017-2019
25/11/2017;25;11;2017;3;80;0;351141.6606;7645783.247;55.565072;-21.283646;3;7;4.382026635;2017;329;11;1.719809555;2017-2019
12/5/2009;12;5;2009;2;120;1;351141.6606;7645783.247;55.565072;-21.283646;2;7;4.787491743;2009;132;5;-0.658356856;2009-2010
11/1/1998;11;1;1998;1;135;0;351141.6606;7645783.247;55.565072;-21.283646;1;7;4.905274778;1998;11;1;-2.119058052;1997-2000
1/6/2017;1;6;2017;3;80;1;351141.6606;7645783.247;55.565072;-21.283646;3;7;4.382026635;2017;152;6;-0.416918642;2017-2019
14/6/2017;14;6;2017;3;80;1;351141.6606;7645783.247;55.565072;-21.283646;3;7;4.382026635;2017;165;6;-0.259983802;2017-2019
24/5/2018;24;5;2018;3;80;0;351141.6606;7645783.247;55.565072;-21.283646;3;7;4.382026635;2018;144;5;-0.513493927;2017-2019
26/12/1997;26;12;1997;1;120;0;349209;7648179;55.54665905;-21.26184676;1;8;4.787491743;1997;360;12;2.094038787;1997-2000
13/5/2009;13;5;2009;2;90;0;349209;7648179;55.54665905;-21.26184676;2;8;4.49980967;2009;133;5;-0.646284945;2009-2010
2/6/2017;2;6;2017;3;80;3;349209;7648179;55.54665905;-21.26184676;3;8;4.382026635;2017;153;6;-0.404846731;2017-2019
